"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR026473","ERR026474","ERR026478","ERR026481","ERR026482","ERR029206","ERR029207"
"group_10","","Universal stress protein","7","7","1","2","317","","","","335","878","686","IABJFMEL_00634","FNKIIBCC_00583","KLCLGNMD_00351","LJFBHMDO_04107","FJKEEGCC_04106","LCKBFCAL_00037","GLGINFII_00302"
"group_100","","hypothetical protein","7","7","1","2","254","","","","410","455","422","IABJFMEL_00922","FNKIIBCC_00894","KLCLGNMD_00284","LJFBHMDO_00968","FJKEEGCC_00833","LCKBFCAL_00103","GLGINFII_00236"
"mkl","","putative ribonucleotide transport ATP-binding protein mkl","7","7","1","1","384","","","","1010","1010","1010","IABJFMEL_01753","FNKIIBCC_01797","KLCLGNMD_00940","LJFBHMDO_02128","FJKEEGCC_01914","LCKBFCAL_00597","GLGINFII_00789"
"bkdB","","3-methyl-2-oxobutanoate dehydrogenase subunit beta","7","7","1","1","229","","","","1046","1046","1046","IABJFMEL_03268","FNKIIBCC_03293","KLCLGNMD_03368","LJFBHMDO_03238","FJKEEGCC_03269","LCKBFCAL_03489","GLGINFII_03473"
"group_1002","","hypothetical protein","7","7","1","2","227","","","","485","485","485","IABJFMEL_00894","FNKIIBCC_00866","KLCLGNMD_00256","LJFBHMDO_00940","FJKEEGCC_00861","LCKBFCAL_00131","GLGINFII_00208"
"group_1003","","hypothetical protein","7","7","1","6","178","","","","455","455","455","IABJFMEL_04044","FNKIIBCC_02086","KLCLGNMD_04044","LJFBHMDO_03047","FJKEEGCC_04049","LCKBFCAL_03295","GLGINFII_04032"
"group_1004","","hypothetical protein","7","7","1","29","31","","","","191","191","191","IABJFMEL_02369","FNKIIBCC_02741","KLCLGNMD_02731","LJFBHMDO_02636","FJKEEGCC_02862","LCKBFCAL_02791","GLGINFII_02979"
"group_1005","","hypothetical protein","7","7","1","1","573","","","","488","488","488","IABJFMEL_00851","FNKIIBCC_00109","KLCLGNMD_00557","LJFBHMDO_00803","FJKEEGCC_00611","LCKBFCAL_01174","GLGINFII_01096"
"group_1006","","Putative cytochrome P450 141","7","7","1","54","6","","","","1202","1202","1202","IABJFMEL_03925","FNKIIBCC_03885","KLCLGNMD_03968","LJFBHMDO_03927","FJKEEGCC_03894","LCKBFCAL_03953","GLGINFII_03961"
"lysX_1","","Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX","7","7","1","6","121","","","","1454","1454","1454","IABJFMEL_01025","FNKIIBCC_00929","KLCLGNMD_01297","LJFBHMDO_01225","FJKEEGCC_00946","LCKBFCAL_01221","GLGINFII_01938"
"cyaB_1","","Adenylate cyclase 2","7","7","1","29","33","","","","1649","1649","1649","IABJFMEL_02366","FNKIIBCC_02738","KLCLGNMD_02728","LJFBHMDO_02633","FJKEEGCC_02865","LCKBFCAL_02788","GLGINFII_02982"
